article_file,language,people,organisations,locations
BBC article EN1.docx,English,"Patriot, Drone, Donald Trump, Farouk Chothia, Joel Guinto, Vitali Klitschko, Volodymyr Zelensky, Zelensky, Kaja Kallas, Emmanuel Macron","UN, EU, 11th Century Dormition Cathedral, Kyiv-Pechersk Lavra, Ministry of Culture, G7, Unesco","Russia, Tula, France, Kyiv, Ukraine, US-manufactured, US, Kyiv-Pechersk Lavra, Dormition Cathedral, Kharkiv"
CNN article EN2.docx,English,"Putin, Donald Trump, Vladimir, Trump, Ursula von der Leyen, Vitaliy Klitschko, Zelensky, Volodymyr Zelensky, Andrii Sybiha","UN Security Council, European Commission, Handout, Orthodox Church of Ukraine, Group of Seven, Ukrainian Culture Ministry, UNESCO, United Nations’ Human Rights Monitoring Mission, State Emergency Service of Ukraine, CNN, G7, Kyiv Pechersk Lavra, Defense Ministry","Russia, National Cultural, Évian, Museum Complex, Moscow, Dnipropetrovsk, France, Metropolitan Epiphanius of Kyiv, Ukraine, Kyiv, https://edition.cnn.com/2026/06/14/europe/kyiv-pechersk-lavra-monastery-fire-russian-attack-intl-hnk
Ukraine, US, Dormition Cathedral, Kremlin, Kharkiv"
The Guardian article.docx,English,"Patriot, https://www.theguardian.com/world/2026/jun/15/kyiv-pechersk-lavra-monastery-on-fire-russian-attacks-ukraine
Kyiv, Jean-Noël Barrot, Tymur Tkachenko, Donald Trump, Zelenskyy, Trump, Oleksandr Dovzhenko, Andrii Sybiha, Yulia Svyrydenko, Vladimir Putin","Perchersk Lavra, air defence systems, Orthodox Church of Ukraine, Nato, EU, Pechersk Lavra, Trump, G7, Unesco","Tula, Kyiv, Ukraine, Poland, Russian-, Perchersk-Lavra, Notre Dame, Bakhmut, Iran, Metropolitan Epiphanius, Dormition Cathedral, Kharkiv, White House, France, Art Arsenal, Donbas city, T]he, Russia, Moscow, Dormition Cathedral of the Kyiv Pechersk Lavra –"
Argumenty i Fakty article RU1.docx,Russian,"Argumenty I Fakty, Захарова, Макрон, Мария Захарова, Жан-Ноэль Барро, Захаровой, Эмманюэль Макрон","Всемирного наследия ЮНЕСКО, Минобороны России, ВСУ, Вооруженных сил России, МИД РФ","МИД Франции, Аргументы, Франции, Киево-Печерской лавры, Факты, Россию, Киево-Печерской лавре, Париж, Украине, Киево-Печерской, Севастополя"
Komsomolskaya Pravda article RU2.docx,Russian,"Сокур, Зосима, Зеленский, Лавры, Зосимы, Военкор Стешин, Схиархимандриту Зосима, Зеленского, Веры, Добра, Православия, Зосиме, Александром Ходаковским, Слово","Комсомольская Правда, Украинской православной церкви, Komsomolskaya Pravda, СБУ","Украину, Руси, Зеленский, Удар, Оптину, Украине, Киеве, Угледар, Лавру, Киево-Печорской Лавры, Европа, Киевскому, Киева, Руси - «Заповедник», России, Успенского собора, Киево-Печерской Лавры, США, Запада, Донбассе, Киево-Печерская Лавра, Европы, Свято-Успенскую Николо-Васильевскую обитель, Иран, Лавры, Киево-Печорской Лавре"
RIA Novosti article RU3.docx,Russian,"Георгий Тихий, Владимира Зеленского, Мария Захарова","RIA Novosti, Министерства иностранных дел Украины, МИД Украины, РИА ИИ
Заявление Министерства иностранных дел Украины, РИА Новости, Минобороны России, МОСКВА","Киево-Печерской лавры, Киев, Западе, Краткий пересказ, Россию, Киево-Печерской лавре, Киеве, Брюсселе"
ABC article ES1.docx,Spanish,"Tymur Tkachenko, Putin, Volodímir Zelenski, Epifanio, Járkov, Andrii Sybiha, Haremos","Pechersk Lavra, UNESCO","https://www.abc.es/internacional/zelenski-afirma-ataque-catedral-dormicion-supone-crimenes-20260615100346-nt.html?ref=https%3A%2F%2Fwww.abc.es%2Finternacional%2Fzelenski-afirma-ataque-catedral-dormicion-supone-crimenes-20260615100346-nt.html#goog_rewarded
El Monasterio de las Cuevas de Kiev, Mystetskyi Arsenal, Rusia, Francia, catedral de Santiago de Compostela, Complejo del Museo Nacional de Arte, Kiev, Exteriores de Ucrania, Nova Poshta, Ucrania, Ministerio de Defensa, Patrimonio de la Humanidad de la UNESCO, Catedral de la Dormición, Reino Unido, Ministro de Cultura, Moscú, Lavra, Cultura Mystetskyi Arsenal, Sybiha, Catedral de la Dormición del Monasterio de las Cuevas de Kiev"
El Mundo article ES2.docx,Spanish,"Dnipró, Jean-Noël Barrot, Volodimir Zelenski, Donald Trump, Vólogda, Járkov, Timur Tkachenko, Tkachenko","Dormición de Kiev
El, G7, Banderol, Dormición de Kiev","Notre-Dame, Crimea, península ucraniana de , Vitali Klitchkó, Rusia, Zircon, Francia, Shahed, Iskander-M, Kiev, península ucraniana de, Gerbera, Ucrania, Briansk, Oriol, Pechersk, Chauda, Parodia, Mílerovo, Primorsko-Ajtarsk, Moscú, Kursk, Iskander-K, catedral de la Dormición, Italmas, Cuevas, Gvardíiske"
United 24 Media article ES3.docx,Spanish,"Tymur Tkachenko, Klitschko, https://united24media.com/es/war-in-ukraine/rusia-castiga-el-corazon-de-kyiv-con-un-bombardeo-que-incendia-el-historico-monasterio-de-lavra-de-pechersk-19812
Rusia, crucero, Monasterio de Lavra de Pechersk, Tkachenko","Administración Militar de la Ciudad de Kyiv, Unesco, Pechersk Lavra de Kyiv","Rusia, Patrimonio de la Humanidad, Catedral de la Dormición, Europa, Kyiv, Vitali Klitschko, Pechersk Lavra de Kyiv, Catedral de la Dormición
El"
European Pravda article UK1.docx,Ukrainian,"Раніше, Росії, Києво-Печерської, Україна, Х.
Кошта, Києво-Печерська, Антоніу Кошта, Франції Жан-Ноель Барро, Володимир Зеленський","ЮНЕСКО, G7, European Pravda, ЄС","Україні, Нотр-Даму, Європейської ради, Київ, Лаврі, Росію, Києво-Печерській, РФ"
Suspilne article UK2.docx,Ukrainian,"Авраамій, Києво-Печерської, Юлія Свириденко, Києво-Печерська, Софії Київської, ДСНС, Крайній, Тимур Ткаченко, Костянтин Крайній, Феодосія, Київської, Феодосія Печерських, Києво-Печерській, Антонія","ЮНЕСКО, СБУ, Києво-Печерську, https://suspilne.media/culture/1331554-ce-cilespramovana-ataka-u-kievo-pecerskij-lavri-rozpovili-pro-naslidki-rosijskogo-udaru-po-uspenskomu-soboru/","Києво-Печерської, Успенському собору, Успенського собору, України, Кущника, Києво-Печерська, Успенський собор, Всесвітньої, Крайній, Радіо Культура, Успенському собору
Російський удар, Успенському собору
URL:, Національного заповідника"
Ukrainska Pravda article UK3.docx,Ukrainian,"які від, Lean-культури, Державній, Будинок, Києва, богослужбові предмети, Українська Правда, які живі, Тетяна Шаповалова, Rozetka, масовану комбіновану атаку на Київ, Тетяни Бережної, Другої, Росію, мати щастя, https://life.pravda.com.ua/society/ataka-rf-na-kijiv-15-chervnya-shcho-vidomo-pro-ruynuvannya-ta-naslidki-315578/
Пошкоджені, друзям, Олександра Довженка","ЮНЕСКО, ЖК ""Комфорт Таун, Академікс, Освітнього холдингу, Ukrainska Pravda, Шахед","Україні, Vanderlande, Тафійчук, Палац, Старого Арсеналу, Національна, України, Києво-Печерська, Успенський собор, Київ, Також, Гаазької, Дніпрі, Суми, Мистецькому арсеналі, РФ, Олесі Островської-Лютої"
